ID,Age,Education,Relationship Status,Income,Days as Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Spent,Spent_Weighted,Children,Family_Size,Is_Parent
1993,65,PhD,Not Alone,58607.0,553,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,972,3145,1,3,1
4047,60,PhD,Not Alone,65324.0,169,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,544,1840,1,3,1
1409,63,Graduation,Not Alone,40689.0,468,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,444,1710,1,3,1
7892,45,Graduation,Alone,18589.0,543,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,75,309,0,1,0
2404,38,Graduation,Not Alone,53359.0,398,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,257,943,2,4,1
9422,25,Graduation,Not Alone,38360.0,394,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,131,502,1,3,1
1966,49,PhD,Not Alone,84618.0,219,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,1672,6373,0,2,0
6864,25,Master,Alone,10979.0,38,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,30,114,0,1,0
3033,51,Master,Not Alone,38620.0,414,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,318,1287,0,2,0
5710,44,Graduation,Not Alone,40548.0,627,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,120,381,1,3,1
7373,62,PhD,Alone,46610.0,608,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,302,1214,2,3,1
8755,68,Master,Not Alone,68657.0,494,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,1196,4579,0,2,0
10738,63,Master,Alone,49389.0,304,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,65,243,2,3,1
4339,44,PhD,Not Alone,67353.0,180,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,913,3104,1,3,1
10755,38,2n Cycle,Not Alone,23718.0,300,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,81,381,1,3,1
8595,41,Graduation,Alone,42429.0,138,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,67,227,1,2,1
2968,71,PhD,Alone,48948.0,513,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,902,3339,0,1,0
8601,34,Graduation,Not Alone,80011.0,426,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,1395,5315,1,3,1
503,29,Master,Not Alone,20559.0,474,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,53,239,1,3,1
8430,57,Graduation,Not Alone,21994.0,552,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,22,89,1,3,1
2139,39,Master,Not Alone,7500.0,270,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,31,148,1,3,1
1371,38,Graduation,Alone,79941.0,1,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,984,3875,0,1,0
9909,18,2n Cycle,Not Alone,7500.0,597,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,122,501,0,2,0
7286,46,Graduation,Not Alone,41728.0,401,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,55,220,1,3,1
6566,60,PhD,Not Alone,72550.0,598,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,1319,4617,2,4,1
8614,57,Graduation,Alone,65486.0,48,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,507,1745,1,2,1
4114,50,Master,Not Alone,79143.0,687,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,1693,6521,0,2,0
1331,37,Graduation,Alone,35790.0,543,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,72,282,1,2,1
2225,37,Graduation,Alone,82582.0,22,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,1617,6550,0,1,0
9381,36,Graduation,Not Alone,66373.0,382,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,606,2363,2,4,1
6260,59,Master,Not Alone,82384.0,587,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,1957,7263,0,2,0
10383,48,Graduation,Alone,70287.0,453,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,1093,4294,0,1,0
7437,26,Graduation,Alone,27938.0,62,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,29,119,1,2,1
8375,46,PhD,Not Alone,55954.0,118,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,518,1739,1,3,1
6853,32,Master,Alone,75777.0,360,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,1438,5634,0,1,0
3076,39,Graduation,Not Alone,66653.0,660,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,612,2020,2,4,1
1012,62,Graduation,Alone,61823.0,496,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,884,3436,1,2,1
6518,63,PhD,Alone,67680.0,383,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,606,1926,1,2,1
4137,66,Graduation,Not Alone,70666.0,205,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,1076,3969,0,2,0
8082,43,Graduation,Not Alone,25721.0,404,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,34,150,1,3,1
1386,47,Graduation,Not Alone,32474.0,49,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,11,35,2,4,1
9369,35,2n Cycle,Alone,88194.0,102,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,1274,4703,1,2,1
4477,56,Graduation,Not Alone,69096.0,275,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,653,2431,1,3,1
1357,44,Graduation,Not Alone,74854.0,447,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,1562,5790,3,5,1
1402,60,Master,Not Alone,66991.0,656,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,1253,4772,0,2,0
6312,55,Graduation,Not Alone,65031.0,469,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,863,3262,1,3,1
8132,39,PhD,Not Alone,60631.0,450,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,661,2152,2,4,1
1050,62,Graduation,Not Alone,28332.0,60,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,65,217,0,2,0
5846,37,Graduation,Alone,40246.0,557,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,13,53,1,2,1
1859,42,Master,Not Alone,75251.0,671,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,1890,7431,0,2,0
7503,38,Graduation,Alone,75825.0,625,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,2209,8160,0,1,0
10401,38,2n Cycle,Not Alone,26326.0,298,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,18,88,0,2,0
1618,49,Graduation,Not Alone,56046.0,543,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,692,2357,0,2,0
3332,29,Graduation,Alone,29760.0,669,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,165,676,1,2,1
2261,45,Graduation,Not Alone,26304.0,371,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,16,70,1,3,1
5346,41,2n Cycle,Not Alone,23559.0,361,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,79,341,1,3,1
4119,51,Master,Not Alone,38620.0,414,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,318,1287,0,2,0
535,27,Graduation,Alone,81361.0,124,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,778,3326,0,1,0
5268,54,Graduation,Not Alone,29440.0,322,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,56,195,2,4,1
273,44,Master,Not Alone,36138.0,348,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,151,500,2,4,1
4452,57,Graduation,Alone,50388.0,32,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,372,1277,1,2,1
8504,41,Graduation,Not Alone,79593.0,48,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,1366,5526,0,2,0
771,47,Graduation,Not Alone,54178.0,159,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,194,667,1,3,1
11178,42,Master,Alone,42394.0,98,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,32,123,1,2,1
2230,44,PhD,Not Alone,23626.0,36,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,43,153,1,3,1
7516,31,Graduation,Not Alone,30096.0,38,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,45,185,1,3,1
7247,54,Graduation,Alone,47916.0,584,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,606,2095,1,2,1
11100,42,Graduation,Alone,51813.0,444,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,63,204,2,3,1
4646,63,2n Cycle,Not Alone,78497.0,210,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,978,4520,0,2,0
3037,31,PhD,Not Alone,50150.0,374,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,410,1359,0,2,0
1473,54,2n Cycle,Alone,47823.0,341,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,72,255,1,2,1
1016,55,PhD,Alone,34554.0,91,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,55,192,1,2,1
4518,35,Graduation,Not Alone,85693.0,435,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,1169,3915,1,3,1
9370,69,PhD,Not Alone,65846.0,408,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,1120,4033,0,2,0
8908,55,Graduation,Not Alone,87195.0,52,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,1097,4657,0,2,0
8373,35,Basic,Not Alone,24594.0,201,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,29,130,1,3,1
7533,50,Graduation,Not Alone,49096.0,278,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,187,645,2,4,1
2683,45,Graduation,Not Alone,52413.0,512,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,910,3232,2,4,1
3629,36,Graduation,Alone,38557.0,557,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,145,572,1,2,1
10991,54,Master,Not Alone,89058.0,569,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,850,2512,0,2,0
5077,35,Graduation,Not Alone,77298.0,239,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,969,3486,1,3,1
7431,23,PhD,Alone,68126.0,596,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,1820,6278,0,1,0
3267,51,Master,Not Alone,57288.0,4,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,608,2046,1,3,1
999,23,Graduation,Alone,86037.0,543,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,730,2427,0,1,0
9215,34,PhD,Not Alone,43974.0,564,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,551,2071,1,3,1
2286,52,Graduation,Alone,50785.0,292,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,114,462,2,3,1
1592,44,Graduation,Not Alone,90765.0,156,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,1724,6766,0,2,0
367,36,2n Cycle,Not Alone,36550.0,495,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,577,2119,1,3,1
5234,47,2n Cycle,Not Alone,30753.0,353,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,81,364,2,4,1
9862,45,Graduation,Not Alone,21918.0,227,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,33,116,1,3,1
9805,61,Master,Not Alone,56129.0,374,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,660,2261,1,3,1
6205,47,Master,Alone,32557.0,125,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,80,318,1,2,1
8442,29,Master,Not Alone,19510.0,298,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,30,124,2,4,1
7386,38,Graduation,Alone,30992.0,433,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,43,167,1,2,1
7215,31,Graduation,Alone,101970.0,474,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,1135,4031,0,1,0
1491,49,2n Cycle,Not Alone,71488.0,496,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,559,2387,0,2,0
11071,30,Graduation,Alone,79607.0,434,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,1923,8226,0,1,0
3381,61,Master,Not Alone,54348.0,21,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,90,314,2,4,1
11051,58,PhD,Not Alone,77376.0,50,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,661,2205,2,4,1
8026,62,Graduation,Not Alone,62998.0,272,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,463,1569,1,3,1
433,56,Master,Alone,61331.0,476,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,632,2098,2,3,1
9597,45,Graduation,Not Alone,73448.0,139,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,725,2713,0,2,0
5290,50,PhD,Not Alone,41551.0,319,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,279,975,2,4,1
1685,47,PhD,Not Alone,62981.0,469,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,1482,5592,0,2,0
5342,38,Basic,Alone,9548.0,690,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,29,122,1,2,1
9579,55,PhD,Not Alone,33762.0,357,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,106,434,3,5,1
7660,41,PhD,Alone,35860.0,41,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,49,225,2,3,1
1461,49,PhD,Alone,36921.0,336,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,38,150,2,3,1
821,22,Master,Alone,92859.0,618,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,2077,8002,0,1,0
11084,38,Master,Not Alone,65104.0,227,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,1053,3766,1,3,1
8690,52,Graduation,Not Alone,86111.0,436,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,1385,5985,0,2,0
2937,40,PhD,Alone,68352.0,305,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,871,2954,1,2,1
9701,26,Graduation,Not Alone,41883.0,467,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,312,1355,1,3,1
9949,38,Graduation,Not Alone,59809.0,619,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,877,3019,2,4,1
10837,39,Graduation,Not Alone,23957.0,609,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,68,295,1,3,1
3120,33,Graduation,Not Alone,38547.0,305,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,22,95,1,3,1
5885,41,2n Cycle,Not Alone,35688.0,676,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,211,914,3,5,1
4050,48,Master,Not Alone,49605.0,8,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,127,423,0,2,0
3830,61,Master,Not Alone,59354.0,66,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,459,1556,2,4,1
7987,45,Graduation,Not Alone,65747.0,114,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,460,1491,1,3,1
7798,42,2n Cycle,Not Alone,46344.0,562,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,429,1622,1,3,1
92,26,Graduation,Alone,34176.0,48,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,89,366,1,2,1
7055,62,PhD,Not Alone,61010.0,628,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,1021,3405,1,3,1
10240,65,Graduation,Not Alone,69372.0,495,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,1381,4776,0,2,0
3025,56,Graduation,Alone,49967.0,356,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,306,1045,1,2,1
9283,36,Graduation,Alone,60199.0,290,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,18,68,3,4,1
9970,37,Graduation,Not Alone,55375.0,255,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,162,602,1,3,1
2730,59,Graduation,Alone,80317.0,313,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,1231,4674,0,1,0
2795,56,Master,Alone,30523.0,363,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,13,60,3,4,1
9260,69,PhD,Not Alone,70356.0,601,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,1706,5710,0,2,0
8182,30,Graduation,Not Alone,23228.0,175,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,121,473,1,3,1
10095,39,PhD,Alone,74165.0,424,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,1293,4375,0,1,0
8475,41,PhD,Not Alone,157243.0,120,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0,1608,7986,1,3,1
4370,48,Graduation,Not Alone,43482.0,228,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,88,413,3,5,1
10573,61,Graduation,Alone,62551.0,223,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,421,1621,0,1,0
3712,55,Graduation,Alone,52332.0,305,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,259,846,0,1,0
6637,26,Graduation,Alone,66951.0,239,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,1117,4106,0,1,0
3152,57,Graduation,Not Alone,26091.0,124,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,89,336,2,4,1
5610,49,Graduation,Not Alone,33456.0,69,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,36,150,2,4,1
6460,32,Graduation,Not Alone,28718.0,351,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,57,226,1,3,1
1349,44,Graduation,Not Alone,50447.0,69,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,148,558,2,4,1
1880,55,PhD,Not Alone,53537.0,150,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,93,309,2,4,1
641,47,Graduation,Alone,52074.0,86,77,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,119,525,1,2,1
8717,39,PhD,Not Alone,80427.0,655,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,1835,6337,1,3,1
10314,66,PhD,Not Alone,83837.0,560,79,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,1318,4390,0,2,0
10854,44,PhD,Not Alone,38853.0,37,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,45,169,2,4,1
10492,55,Graduation,Not Alone,38285.0,5,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,10,45,3,5,1
6935,63,2n Cycle,Not Alone,78497.0,210,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,978,4520,0,2,0
7698,38,PhD,Not Alone,51650.0,49,81,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,191,629,1,3,1
3559,26,2n Cycle,Not Alone,16248.0,50,77,12,11,10,3,12,9,3,2,1,3,6,0,0,0,0,0,57,187,1,3,1
10562,68,Master,Not Alone,66835.0,274,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,1033,3877,0,2,0
10796,30,Master,Not Alone,30477.0,158,16,47,1,6,0,0,12,1,1,1,3,6,0,0,0,0,0,66,244,1,3,1
2563,53,Basic,Not Alone,28249.0,14,80,1,9,7,2,14,10,1,2,0,3,6,0,0,0,0,0,43,143,0,2,0
3518,31,Graduation,Not Alone,25271.0,571,45,10,1,18,10,4,7,1,1,1,2,9,0,0,0,0,0,50,211,1,3,1
5823,44,PhD,Alone,32303.0,113,63,35,0,2,0,0,2,2,1,0,4,5,0,0,0,0,0,39,127,1,2,1
3934,48,Graduation,Not Alone,61286.0,331,34,356,0,107,19,9,117,2,7,1,8,5,0,0,0,0,0,608,2399,1,3,1
6982,38,Graduation,Not Alone,74068.0,467,14,783,30,537,140,76,15,1,4,10,9,2,0,0,0,0,0,1581,5866,0,2,0
6431,50,PhD,Not Alone,45759.0,491,13,42,1,18,3,0,4,2,2,0,3,7,0,0,0,0,0,68,253,2,4,1
9733,36,Basic,Not Alone,24882.0,658,52,1,4,10,29,0,36,1,1,1,2,6,1,0,0,0,0,80,389,1,3,1
5602,25,PhD,Not Alone,66973.0,408,98,466,22,432,147,113,102,1,8,7,12,3,0,0,0,0,0,1282,5006,0,2,0
1324,26,Graduation,Not Alone,38872.0,395,93,23,3,21,3,19,22,2,3,0,3,8,0,0,0,0,0,91,359,1,3,1
326,41,Graduation,Not Alone,51148.0,496,38,235,6,45,8,9,12,4,5,1,6,6,0,0,0,0,0,315,1058,2,4,1
7224,37,Graduation,Not Alone,31353.0,182,24,10,0,10,3,1,7,2,1,1,2,8,0,0,0,0,0,31,136,2,4,1
6999,34,Master,Not Alone,69661.0,47,80,656,16,106,32,16,8,1,7,3,12,3,0,0,0,0,0,834,2722,0,2,0
9938,60,Graduation,Not Alone,80067.0,283,82,519,17,813,27,173,51,1,4,6,6,2,0,0,1,0,0,1600,6399,0,2,0
6422,60,Graduation,Not Alone,86718.0,528,20,344,189,482,50,33,172,1,5,6,5,2,0,0,0,0,0,1270,4929,0,2,0
3182,41,PhD,Alone,46854.0,90,81,96,1,79,7,1,79,6,5,1,3,8,1,0,0,0,0,263,1188,2,3,1
7300,62,Graduation,Alone,69142.0,0,50,448,4,34,6,4,39,3,8,1,7,5,0,1,0,0,0,535,1784,1,2,1
10424,46,Graduation,Alone,75922.0,202,60,265,138,553,224,23,92,1,4,4,9,1,0,0,0,0,0,1295,5192,0,1,0
8727,36,Graduation,Alone,63693.0,258,63,587,43,337,42,87,54,3,11,6,9,6,0,0,0,0,0,1150,4155,1,2,1
2798,37,PhD,Not Alone,102160.0,604,54,763,29,138,76,176,58,0,7,9,10,4,0,1,1,1,0,1240,4012,0,2,0
1030,49,PhD,Alone,40637.0,347,72,22,0,13,0,0,3,2,1,0,3,7,0,0,0,0,0,38,149,2,3,1
624,30,Master,Alone,18890.0,596,5,6,4,1,7,2,15,1,0,1,2,6,1,0,0,0,0,35,149,0,1,0
5176,26,Graduation,Not Alone,29604.0,203,88,7,6,13,7,6,14,1,1,0,3,9,1,0,0,0,0,53,216,1,3,1
5552,51,Master,Alone,48721.0,412,50,81,18,113,47,13,21,6,4,2,5,6,0,0,0,0,0,293,1166,2,3,1
868,48,Graduation,Not Alone,44794.0,21,99,54,0,7,0,0,4,1,2,0,3,6,0,0,0,0,0,65,221,1,3,1
380,60,Graduation,Alone,64497.0,657,17,1170,48,320,42,32,192,5,11,4,9,8,1,0,0,0,0,1804,6542,1,2,1
2677,58,Graduation,Not Alone,46097.0,455,11,72,24,68,65,4,8,5,3,1,6,4,0,0,0,0,0,241,896,1,3,1
6521,60,Graduation,Not Alone,77972.0,103,18,613,22,319,33,102,12,1,4,6,9,1,0,0,0,0,0,1101,3864,0,2,0
6927,46,PhD,Not Alone,44377.0,632,70,224,0,30,0,0,10,8,5,1,5,8,0,0,0,0,0,264,882,2,4,1
2877,40,Master,Not Alone,46014.0,524,21,410,0,59,19,9,44,10,7,1,8,7,0,0,0,0,0,541,1883,2,4,1
0,29,Graduation,Not Alone,70951.0,421,66,239,10,554,254,87,54,1,3,4,9,1,0,0,0,0,0,1198,5011,0,2,0
